Date,Account,Category,Subcategory,Note,INR,Income/Expense,Amount,Currency,,
3/2/2022 10:11,CUB - online payment,Food,,Brownie,50,Expense,50,INR,,
3/2/2022 10:11,CUB - online payment,Other,,To lended people,300,Expense,300,INR,,
3/1/2022 19:50,CUB - online payment,Food,,Dinner,78,Expense,78,INR,,
3/1/2022 18:56,CUB - online payment,Transportation,,Metro,30,Expense,30,INR,,
3/1/2022 18:22,CUB - online payment,Food,,Snacks,67,Expense,67,INR,,
3/1/2022 18:22,CUB - online payment,Other,,From vicky,100,Income,100,INR,,
3/1/2022 18:21,CUB - online payment,Other,,From dad,500,Income,500,INR,,
2/28/2022 11:56,CUB - online payment,Food,,Pizza,339.15,Expense,339.15,INR,,
2/28/2022 11:45,CUB - online payment,Other,,From kumara,200,Income,200,INR,,
2/27/2022 15:29,CUB - online payment,Food,,Lunch,243,Expense,243,INR,,
2/26/2022 20:16,CUB - online payment,Food,,,25,Expense,25,INR,,
2/26/2022 17:37,CUB - online payment,Other,,From dad,1500,Income,1500,INR,,
2/26/2022 17:37,CUB - online payment,Other,,To karthi,100,Expense,100,INR,,
2/26/2022 16:01,CUB - online payment,Social Life,,,1700,Expense,1700,INR,,
2/26/2022 14:07,CUB - online payment,Food,,Snacks,40,Expense,40,INR,,
2/26/2022 1:39,CUB - online payment,Food,,Tea lights,84,Expense,84,INR,,
2/25/2022 12:08,CUB - online payment,Food,,,33,Expense,33,INR,,
2/24/2022 22:32,CUB - online payment,Household,,,303,Expense,303,INR,,
2/24/2022 22:21,CUB - online payment,Food,,Creamstone,289,Expense,289,INR,,
2/24/2022 19:15,CUB - online payment,Food,,Tamen,324.7,Expense,324.7,INR,,
2/23/2022 17:35,CUB - online payment,Apparel,,Hoodie for gobi,399,Expense,399,INR,,
2/23/2022 16:06,CUB - online payment,Food,,Eggs,83,Expense,83,INR,,
2/23/2022 12:38,CUB - online payment,Apparel,,Earphone,399,Expense,399,INR,,
2/22/2022 6:33,CUB - online payment,Transportation,,Auto to laxmi mills,120,Expense,120,INR,,
2/21/2022 22:15,CUB - online payment,Transportation,,It better be worth it,1300,Expense,1300,INR,,
2/21/2022 16:06,CUB - online payment,Transportation,,Travel to koyambedu,138,Expense,138,INR,,
2/21/2022 15:40,CUB - online payment,Household,,Stuffs,336,Expense,336,INR,,
2/21/2022 15:38,CUB - online payment,Transportation,,Train cbe to chn,201.8,Expense,201.8,INR,,
2/20/2022 15:24,CUB - online payment,Food,,Lunch,200,Expense,200,INR,,
2/19/2022 23:03,CUB - online payment,Food,,Random stuff for drinks,111,Expense,111,INR,,
2/19/2022 21:57,CUB - online payment,Food,,Snacks,250,Expense,250,INR,,
2/19/2022 21:35,CUB - online payment,Transportation,,Bus ticket,1575,Expense,1575,INR,,
2/19/2022 20:45,CUB - online payment,Transportation,,Took from sbi,200,Expense,200,INR,,
2/19/2022 20:45,CUB - online payment,Food,,Ramen with gobi,380,Expense,380,INR,,
2/19/2022 8:26,CUB - online payment,Transportation,,Metro,60,Expense,60,INR,,
2/19/2022 6:27,CUB - online payment,Other,,To auto anna,50,Expense,50,INR,,
2/19/2022 6:18,CUB - online payment,Transportation,,To egmore,270,Expense,270,INR,,
2/18/2022 23:01,CUB - online payment,Food,,Kfc dinner,348,Expense,348,INR,,
2/17/2022 13:11,CUB - online payment,Food,,Lunch,80,Expense,80,INR,,
2/16/2022 16:57,CUB - online payment,Food,,Side dishes,165,Expense,165,INR,,
2/16/2022 16:57,CUB - online payment,Food,,Kfc ,475,Expense,475,INR,,
2/13/2022 21:54,CUB - online payment,Social Life,,Games ,100,Expense,100,INR,,
2/12/2022 21:20,CUB - online payment,Food,,Dinner with aravind and buddies,491,Expense,491,INR,,
2/12/2022 16:04,CUB - online payment,Household,,Mirror,70,Expense,70,INR,,
2/12/2022 14:48,CUB - online payment,Food,,Lunch,80,Expense,80,INR,,
2/12/2022 14:47,CUB - online payment,Other,,From dad,10000,Income,10000,INR,,
2/11/2022 22:41,CUB - online payment,Food,,Dinner with aravind,373,Expense,373,INR,,
2/10/2022 20:15,CUB - online payment,Food,,Kfc dinner,641,Expense,641,INR,,
2/8/2022 10:37,CUB - online payment,Other,,From dad,1000,Income,1000,INR,,
2/8/2022 9:18,CUB - online payment,Household,,Bean bag,2099,Expense,2099,INR,,
2/7/2022 7:08,CUB - online payment,Transportation,,Auto to Gobi's place,214,Expense,214,INR,,
2/6/2022 18:32,CUB - online payment,Food,,Cakepark,125,Expense,125,INR,,
2/6/2022 17:53,CUB - online payment,Food,,To kumara,150,Expense,150,INR,,
2/6/2022 17:52,CUB - online payment,Transportation,,To chennai,1000,Expense,1000,INR,,
2/6/2022 16:41,CUB - online payment,Other,,Salary from dad,5000,Income,5000,INR,,
2/6/2022 16:40,CUB - online payment,Other,,To gobi,1500,Expense,1500,INR,,
2/4/2022 20:28,CUB - online payment,Food,,Shawarma,80,Expense,80,INR,,
2/3/2022 14:53,CUB - online payment,Food,,Good soup,50,Expense,50,INR,,
2/3/2022 8:59,CUB - online payment,Other,,To gowdham,150,Expense,150,INR,,
2/2/2022 20:15,CUB - online payment,Food,,Parotta,120,Expense,120,INR,,
2/2/2022 20:14,CUB - online payment,Other,,From dad,500,Income,500,INR,,
1/31/2022 8:44,CUB - online payment,Transportation,,Vnr to apk,50,Expense,50,INR,,
1/31/2022 8:27,CUB - online payment,Other,,To vicky,200,Expense,200,INR,,
1/31/2022 8:26,CUB - online payment,Transportation,,To ksr station,153,Expense,153,INR,,
1/30/2022 19:17,CUB - online payment,Food,,Dinner,155,Expense,155,INR,,
1/30/2022 19:01,CUB - online payment,Food,,Cycle gap ,120,Expense,120,INR,,
1/30/2022 12:28,CUB - online payment,Food,,Brunch,105,Expense,105,INR,,
1/29/2022 21:56,CUB - online payment,Transportation,,Rapido to pg,44,Expense,44,INR,,
1/29/2022 14:44,CUB - online payment,Other,,Sent to barath,100,Expense,100,INR,,
1/28/2022 21:58,CUB - online payment,Food,,Banana,10,Expense,10,INR,,
1/28/2022 14:23,CUB - online payment,Food,,Lunch with company,138,Expense,138,INR,,
1/27/2022 21:25,CUB - online payment,Transportation,,Rapido to pg,43,Expense,43,INR,,
1/27/2022 13:41,CUB - online payment,Other,,To vicky,300,Expense,300,INR,,
1/27/2022 13:41,CUB - online payment,Other,,To vishnu,100,Expense,100,INR,,
1/27/2022 13:39,CUB - online payment,Food,,Zinger box meal,279,Expense,279,INR,,
1/27/2022 13:38,CUB - online payment,Other,,From vicky,300,Income,300,INR,,
1/27/2022 13:38,CUB - online payment,Other,,From dad,1500,Income,1500,INR,,
1/26/2022 17:45,CUB - online payment,Food,,Snacks,115,Expense,115,INR,,
1/26/2022 17:45,CUB - online payment,Other,,Vishnu 100 gowdham 25,125,Income,125,INR,,
1/26/2022 16:52,CUB - online payment,Food,,Paani poori,25,Expense,25,INR,,
1/25/2022 13:35,CUB - online payment,Food,,Kfc date with myself,259,Expense,259,INR,,
1/25/2022 10:23,CUB - online payment,Food,,Lemon tea,18,Expense,18,INR,,
1/25/2022 9:20,CUB - online payment,Transportation,,Train to vnr,325,Expense,325,INR,,
1/24/2022 20:17,CUB - online payment,Food,,Snack,40,Expense,40,INR,,
1/24/2022 14:08,CUB - online payment,Food,,Lunch with company,133,Expense,133,INR,,
1/23/2022 21:45,CUB - online payment,Food,,Pepsi,40,Expense,40,INR,,
1/23/2022 21:41,CUB - online payment,Food,,Dinner,465,Expense,465,INR,,
1/23/2022 21:29,CUB - online payment,Food,,Sent to vicky,300,Expense,300,INR,,
1/23/2022 21:29,CUB - online payment,Food,,Lunch,302,Expense,302,INR,,
1/23/2022 21:29,CUB - online payment,Other,,From vicky,310,Income,310,INR,,
1/23/2022 21:27,CUB - online payment,Food,,Snacks with preethi and azar,176,Expense,176,INR,,
1/23/2022 21:27,CUB - online payment,Social Life,,Badminton,200,Expense,200,INR,,
1/23/2022 21:27,CUB - online payment,Other,,From dad,2000,Income,2000,INR,,
1/21/2022 14:22,CUB - online payment,Food,,Lunch with company,188,Expense,188,INR,,
1/21/2022 11:47,CUB - online payment,Food,,Snacks,37,Expense,37,INR,,
1/21/2022 11:47,CUB - online payment,Other,,From vicky,200,Income,200,INR,,
1/19/2022 14:27,CUB - online payment,Food,,Lunch + chocolate for preethi,171,Expense,171,INR,,
1/18/2022 20:54,CUB - online payment,Food,,Dinner,301.15,Expense,301.15,INR,,
1/18/2022 17:10,CUB - online payment,Food,,Snack with preethi,59,Expense,59,INR,,
1/18/2022 13:51,CUB - online payment,Food,,Lunch with company,148,Expense,148,INR,,
