"Time","Category","Note","Income.Expense","Amount","Currency","X","X.1","Date"
"3/2/2022 10:11","Food","Brownie","Expense",0.6,"USD",NA,NA,2022-03-02
"3/2/2022 10:11","Other","To lended people","Expense",3.6,"USD",NA,NA,2022-03-02
"3/1/2022 19:50","Food","Dinner","Expense",0.936,"USD",NA,NA,2022-03-01
"3/1/2022 18:56","Transportation","Metro","Expense",0.36,"USD",NA,NA,2022-03-01
"3/1/2022 18:22","Food","Snacks","Expense",0.804,"USD",NA,NA,2022-03-01
"2/28/2022 11:56","Food","Pizza","Expense",4.0698,"USD",NA,NA,2022-02-28
"2/27/2022 15:29","Food","Lunch","Expense",2.916,"USD",NA,NA,2022-02-27
"2/26/2022 20:16","Food","","Expense",0.3,"USD",NA,NA,2022-02-26
"2/26/2022 17:37","Other","To karthi","Expense",1.2,"USD",NA,NA,2022-02-26
"2/26/2022 16:01","Social Life","","Expense",20.4,"USD",NA,NA,2022-02-26
"2/26/2022 14:07","Food","Snacks","Expense",0.48,"USD",NA,NA,2022-02-26
"2/26/2022 1:39","Food","Tea lights","Expense",1.008,"USD",NA,NA,2022-02-26
"2/25/2022 12:08","Food","","Expense",0.396,"USD",NA,NA,2022-02-25
"2/24/2022 22:32","Household","","Expense",3.636,"USD",NA,NA,2022-02-24
"2/24/2022 22:21","Food","Creamstone","Expense",3.468,"USD",NA,NA,2022-02-24
"2/24/2022 19:15","Food","Tamen","Expense",3.8964,"USD",NA,NA,2022-02-24
"2/23/2022 17:35","Apparel","Hoodie for gobi","Expense",4.788,"USD",NA,NA,2022-02-23
"2/23/2022 16:06","Food","Eggs","Expense",0.996,"USD",NA,NA,2022-02-23
"2/23/2022 12:38","Apparel","Earphone","Expense",4.788,"USD",NA,NA,2022-02-23
"2/22/2022 6:33","Transportation","Auto to laxmi mills","Expense",1.44,"USD",NA,NA,2022-02-22
"2/21/2022 22:15","Transportation","It better be worth it","Expense",15.6,"USD",NA,NA,2022-02-21
"2/21/2022 16:06","Transportation","Travel to koyambedu","Expense",1.656,"USD",NA,NA,2022-02-21
"2/21/2022 15:40","Household","Stuffs","Expense",4.032,"USD",NA,NA,2022-02-21
"2/21/2022 15:38","Transportation","Train cbe to chn","Expense",2.4216,"USD",NA,NA,2022-02-21
"2/20/2022 15:24","Food","Lunch","Expense",2.4,"USD",NA,NA,2022-02-20
"2/19/2022 23:03","Food","Random stuff for drinks","Expense",1.332,"USD",NA,NA,2022-02-19
"2/19/2022 21:57","Food","Snacks","Expense",3,"USD",NA,NA,2022-02-19
"2/19/2022 21:35","Transportation","Bus ticket","Expense",18.9,"USD",NA,NA,2022-02-19
"2/19/2022 20:45","Transportation","Took from sbi","Expense",2.4,"USD",NA,NA,2022-02-19
"2/19/2022 20:45","Food","Ramen with gobi","Expense",4.56,"USD",NA,NA,2022-02-19
"2/19/2022 8:26","Transportation","Metro","Expense",0.72,"USD",NA,NA,2022-02-19
"2/19/2022 6:27","Other","To auto anna","Expense",0.6,"USD",NA,NA,2022-02-19
"2/19/2022 6:18","Transportation","To egmore","Expense",3.24,"USD",NA,NA,2022-02-19
"2/18/2022 23:01","Food","Kfc dinner","Expense",4.176,"USD",NA,NA,2022-02-18
"2/17/2022 13:11","Food","Lunch","Expense",0.96,"USD",NA,NA,2022-02-17
"2/16/2022 16:57","Food","Side dishes","Expense",1.98,"USD",NA,NA,2022-02-16
"2/16/2022 16:57","Food","Kfc ","Expense",5.7,"USD",NA,NA,2022-02-16
"2/13/2022 21:54","Social Life","Games ","Expense",1.2,"USD",NA,NA,2022-02-13
"2/12/2022 21:20","Food","Dinner with aravind and buddies","Expense",5.892,"USD",NA,NA,2022-02-12
"2/12/2022 16:04","Household","Mirror","Expense",0.84,"USD",NA,NA,2022-02-12
"2/12/2022 14:48","Food","Lunch","Expense",0.96,"USD",NA,NA,2022-02-12
"2/11/2022 22:41","Food","Dinner with aravind","Expense",4.476,"USD",NA,NA,2022-02-11
"2/10/2022 20:15","Food","Kfc dinner","Expense",7.692,"USD",NA,NA,2022-02-10
"2/8/2022 9:18","Household","Bean bag","Expense",25.188,"USD",NA,NA,2022-02-08
"2/7/2022 7:08","Transportation","Auto to Gobi's place","Expense",2.568,"USD",NA,NA,2022-02-07
"2/6/2022 18:32","Food","Cakepark","Expense",1.5,"USD",NA,NA,2022-02-06
"2/6/2022 17:53","Food","To kumara","Expense",1.8,"USD",NA,NA,2022-02-06
